,Date,UK_mean
278,1893-02-15,7.116435971
279,1893-03-16,7.497762884
280,1893-04-16,8.531193563
281,1893-05-16,10.62221827
282,1893-06-16,13.57122285
283,1893-07-16,15.33718586
284,1893-08-16,16.39291559
285,1893-09-16,15.21709374
286,1893-10-16,13.28729391
287,1893-11-16,10.8747451
288,1893-12-16,8.960203886
289,1894-01-16,7.587175369
290,1894-02-15,7.481517519
291,1894-03-16,7.63223144
292,1894-04-16,8.598983594
293,1894-05-16,9.779463291
294,1894-06-16,12.15144968
295,1894-07-16,14.36470488
296,1894-08-16,15.32630021
297,1894-09-16,14.28816543
298,1894-10-16,12.97947972
299,1894-11-16,11.29840851
300,1894-12-16,9.504149199
301,1895-01-16,7.59587121
302,1895-02-15,6.143322485
303,1895-03-16,5.899661711
304,1895-04-16,7.328140088
305,1895-05-16,9.73320273
306,1895-06-16,12.77325712
307,1895-07-16,14.44735064
308,1895-08-16,15.27980641
309,1895-09-16,15.30684349
310,1895-10-16,13.62133476
311,1895-11-16,11.24916628
312,1895-12-16,9.503464971
313,1896-01-16,8.698969909
314,1896-02-15,7.895521096
315,1896-03-16,7.926510402
316,1896-04-16,8.80413178
317,1896-05-16,10.68805844
318,1896-06-16,13.63128294
319,1896-07-16,15.00091689
320,1896-08-16,15.66772393
321,1896-09-16,14.37457003
322,1896-10-16,11.93592685
323,1896-11-16,10.10718148
324,1896-12-16,8.684702294
325,1897-01-16,7.425434147
326,1897-02-15,6.75123838
327,1897-03-16,7.308768817
328,1897-04-16,8.131204741
329,1897-05-16,9.687744073
330,1897-06-16,12.57734673
331,1897-07-16,14.7480932
332,1897-08-16,15.62579625
333,1897-09-16,14.21476718
334,1897-10-16,13.0478282
335,1897-11-16,11.43438823
336,1897-12-16,10.0009972
337,1898-01-16,9.02130832
338,1898-02-15,8.219602517
339,1898-03-16,7.706949098
340,1898-04-16,8.348494598
341,1898-05-16,9.823559557
342,1898-06-16,12.59055144
343,1898-07-16,14.38307701
344,1898-08-16,15.27646821
345,1898-09-16,15.6266363
346,1898-10-16,13.98462684
347,1898-11-16,11.50657933
348,1898-12-16,9.558836324
349,1899-01-16,9.162210328
350,1899-02-15,8.184409686
351,1899-03-16,7.857739108
352,1899-04-16,8.585171495
353,1899-05-16,10.19312211
354,1899-06-16,13.27713101
355,1899-07-16,15.043146
356,1899-08-16,16.65980966
357,1899-09-16,15.31498902
358,1899-10-16,12.82142503
359,1899-11-16,11.24636071
360,1899-12-16,9.396098001
361,16/01/1900,8.630901132
362,15/02/1900,7.640501669
363,16/03/1900,7.025471687
364,16/04/1900,7.747991562
365,16/05/1900,9.442486525
366,16/06/1900,12.48356812
367,16/07/1900,14.65580879
368,16/08/1900,15.94067485
369,16/09/1900,15.09688268
370,16/10/1900,13.46446037
371,16/11/1900,11.65851007
372,16/12/1900,9.758995533
373,16/01/1901,8.223796572
374,15/02/1901,7.024330752
375,16/03/1901,6.669464043
376,16/04/1901,7.657165051
377,16/05/1901,9.429111753
378,16/06/1901,12.76066903
379,16/07/1901,14.82759019
380,16/08/1901,15.45518732
381,16/09/1901,14.83595937
382,16/10/1901,13.02043227
383,16/11/1901,10.9441747
384,16/12/1901,9.147436721
385,16/01/1902,7.592345749
386,15/02/1902,6.718184948
387,16/03/1902,6.750511987
388,16/04/1902,7.641362122
389,16/05/1902,8.765164886
390,16/06/1902,11.38521303
391,16/07/1902,13.98097788
392,16/08/1902,14.89761952
393,16/09/1902,14.3008882
394,16/10/1902,12.49788632
395,16/11/1902,11.23133871
396,16/12/1902,8.78913113
397,16/01/1903,8.139664173
398,15/02/1903,7.823175941
399,16/03/1903,7.718066045
400,16/04/1903,7.805822475
401,16/05/1903,9.374590874
402,16/06/1903,12.10877337
403,16/07/1903,14.51929494
404,16/08/1903,14.89973177
405,16/09/1903,14.00132547
406,16/10/1903,12.92882892
407,16/11/1903,11.25841413
408,16/12/1903,8.756259441
409,16/01/1904,8.031099217
410,15/02/1904,7.358062914
411,16/03/1904,6.776108129
412,16/04/1904,7.747174399
413,16/05/1904,9.36359661
414,16/06/1904,12.10748911
415,16/07/1904,14.2271142
416,16/08/1904,15.42880821
417,16/09/1904,14.32361078
418,16/10/1904,12.87908193
419,16/11/1904,11.20018332
420,16/12/1904,9.761598996
421,16/01/1905,8.14972227
422,15/02/1905,7.518493959
423,16/03/1905,7.389455353
424,16/04/1905,7.964747531
425,16/05/1905,9.571266856
426,16/06/1905,12.77749784
427,16/07/1905,15.29583829
428,16/08/1905,15.3766442
429,16/09/1905,13.99342176
430,16/10/1905,11.75822054
431,16/11/1905,10.11891147
432,16/12/1905,9.13761769
433,16/01/1906,8.249037164
434,15/02/1906,7.196518421
435,16/03/1906,6.895856176
436,16/04/1906,7.533559459
437,16/05/1906,9.031442336
438,16/06/1906,12.0908821
439,16/07/1906,13.95084504
440,16/08/1906,15.40113333
441,16/09/1906,14.89989614
442,16/10/1906,13.5749199
443,16/11/1906,11.12923268
444,16/12/1906,9.295667682
445,16/01/1907,7.98213768
446,15/02/1907,6.732425826
447,16/03/1907,6.873987538
448,16/04/1907,7.753704105
449,16/05/1907,9.253609112
450,16/06/1907,11.6488704
451,16/07/1907,13.1753679
452,16/08/1907,14.19263254
453,16/09/1907,14.21453599
454,16/10/1907,13.14823607
455,16/11/1907,11.34000765
456,16/12/1907,9.678775992
457,16/01/1908,8.143186603
458,15/02/1908,7.391586951
459,16/03/1908,6.967449835
460,16/04/1908,7.55627312
461,16/05/1908,9.416269813
462,16/06/1908,12.21913086
463,16/07/1908,14.3302801
464,16/08/1908,15.14041444
465,16/09/1908,14.03309372
466,16/10/1908,13.65669162
467,16/11/1908,11.44915513
468,16/12/1908,9.965077945
469,16/01/1909,8.525088004
470,15/02/1909,7.226780449
471,16/03/1909,6.410617352
472,16/04/1909,7.779085364
473,16/05/1909,9.369922297
474,16/06/1909,11.82786485
475,16/07/1909,13.41319295
476,16/08/1909,14.82967179
477,16/09/1909,13.96421119
478,16/10/1909,13.1265051
479,16/11/1909,10.52945573
480,16/12/1909,8.805269991
481,16/01/1910,8.045191288
482,15/02/1910,7.427599124
483,16/03/1910,7.545313426
484,16/04/1910,7.992911679
485,16/05/1910,9.557693481
486,16/06/1910,12.69298077
487,16/07/1910,13.89710447
488,16/08/1910,15.15323414
489,16/09/1910,14.5122464
490,16/10/1910,13.19803579
491,16/11/1910,10.43043252
492,16/12/1910,9.314798151
493,16/01/1911,8.127305712
494,15/02/1911,7.558440549
495,16/03/1911,7.364083188
496,16/04/1911,7.57969846
497,16/05/1911,9.968103613
498,16/06/1911,12.70716899
499,16/07/1911,14.63464635
500,16/08/1911,16.48246534
501,16/09/1911,15.54298789
502,16/10/1911,13.25821904
503,16/11/1911,10.7433439
504,16/12/1911,9.551343373
505,16/01/1912,8.479461908
506,15/02/1912,7.731478964
507,16/03/1912,8.073267051
508,16/04/1912,8.760042361
509,16/05/1912,10.4279873
510,16/06/1912,12.53737422
511,16/07/1912,14.70032808
512,16/08/1912,14.45014388
513,16/09/1912,13.2476853
514,16/10/1912,12.13154234
515,16/11/1912,10.38530711
516,16/12/1912,9.537903241
517,16/01/1913,8.542783431
518,15/02/1913,7.727190495
519,16/03/1913,7.553571292
520,16/04/1913,7.993583168
521,16/05/1913,9.627720833
522,16/06/1913,12.20084231
523,16/07/1913,13.78979288
524,16/08/1913,15.03372233
525,16/09/1913,14.72858572
526,16/10/1913,13.43965415
527,16/11/1913,11.46912152
528,16/12/1913,9.831030641
529,16/01/1914,8.114238841
530,15/02/1914,8.048403467
531,16/03/1914,7.626421077
532,16/04/1914,8.770666838
533,16/05/1914,10.07813399
534,16/06/1914,12.21488203
535,16/07/1914,14.92487213
536,16/08/1914,15.63883877
537,16/09/1914,15.03024701
538,16/10/1914,13.68805047
539,16/11/1914,11.34524945
540,16/12/1914,9.470477717
541,16/01/1915,8.168053865
542,15/02/1915,7.2162839
543,16/03/1915,6.941241741
544,16/04/1915,7.676816702
545,16/05/1915,9.803490809
546,16/06/1915,12.84930127
547,16/07/1915,14.7835491
548,16/08/1915,15.82381909
549,16/09/1915,15.09630503
550,16/10/1915,13.20635639
551,16/11/1915,10.7792135
552,16/12/1915,9.291742734
553,16/01/1916,8.273517609
554,15/02/1916,7.558082751
555,16/03/1916,7.197561332
556,16/04/1916,8.112964221
557,16/05/1916,9.710299117
558,16/06/1916,12.18303605
559,16/07/1916,13.97110367
560,16/08/1916,15.37005172
561,16/09/1916,14.88865764
562,16/10/1916,13.30316945
563,16/11/1916,10.92949036
564,16/12/1916,8.856264455
565,16/01/1917,7.342126199
566,15/02/1917,6.349595513
567,16/03/1917,5.990091034
568,16/04/1917,6.795935937
569,16/05/1917,8.93726434
570,16/06/1917,12.00486844
571,16/07/1917,14.21146699
572,16/08/1917,15.14409004
573,16/09/1917,14.30456529
574,16/10/1917,12.5089159
575,16/11/1917,10.2117315
576,16/12/1917,8.336448874
577,16/01/1918,6.946889298
578,15/02/1918,6.24509573
579,16/03/1918,6.561957223
580,16/04/1918,7.365471806
581,16/05/1918,9.35546984
582,16/06/1918,12.51077461
583,16/07/1918,14.56928846
584,16/08/1918,15.46603196
585,16/09/1918,14.11408309
586,16/10/1918,12.48517472
587,16/11/1918,11.04659762
588,16/12/1918,9.165136746
589,16/01/1919,8.079408373
590,15/02/1919,6.960580247
591,16/03/1919,6.845897436
592,16/04/1919,7.621437413
593,16/05/1919,9.727826732
594,16/06/1919,12.44379568
595,16/07/1919,14.15306384
596,16/08/1919,15.23139695
597,16/09/1919,14.38162579
598,16/10/1919,12.32631111
599,16/11/1919,9.535995041
600,16/12/1919,8.527689934
601,16/01/1920,7.877173492
602,15/02/1920,7.553967544
603,16/03/1920,7.44765326
604,16/04/1920,8.366278035
605,16/05/1920,10.35079731
606,16/06/1920,12.86779049
607,16/07/1920,14.23406771
608,16/08/1920,14.64098624
609,16/09/1920,14.31650012
610,16/10/1920,13.4974885
611,16/11/1920,11.39829704
612,16/12/1920,9.70128291
613,16/01/1921,9.203477757
614,15/02/1921,8.144609792
615,16/03/1921,8.260967561
616,16/04/1921,8.688752311
617,16/05/1921,10.73107706
618,16/06/1921,12.90419912
619,16/07/1921,15.05827134
620,16/08/1921,15.21853352
621,16/09/1921,14.65005609
622,16/10/1921,14.30260066
623,16/11/1921,11.28672341
624,16/12/1921,9.725964035
625,16/01/1922,8.362996953
626,15/02/1922,7.709260906
627,16/03/1922,7.520479339
628,16/04/1922,7.618216174
629,16/05/1922,9.845106806
630,16/06/1922,12.5596197
631,16/07/1922,13.31369311
632,16/08/1922,14.28387839
633,16/09/1922,13.71232803
634,16/10/1922,12.27306407
635,16/11/1922,10.20089415
636,16/12/1922,9.37648235
637,16/01/1923,8.379450287
638,15/02/1923,7.869393757
639,16/03/1923,7.748316458
640,16/04/1923,8.216495923
641,16/05/1923,9.601585763
642,16/06/1923,11.31336382
643,16/07/1923,14.2621962
644,16/08/1923,14.56817082
645,16/09/1923,13.53225068
646,16/10/1923,12.15892955
647,16/11/1923,9.975448063
648,16/12/1923,8.638540064
649,16/01/1924,7.75929468
650,15/02/1924,7.109545027
651,16/03/1924,6.707782524
652,16/04/1924,7.17201192
653,16/05/1924,9.379414797
654,16/06/1924,12.20629447
655,16/07/1924,13.8266874
656,16/08/1924,14.87597833
657,16/09/1924,13.7758755
658,16/10/1924,12.5367354
659,16/11/1924,10.92132289
660,16/12/1924,9.810087545
661,16/01/1925,9.002157995
662,15/02/1925,8.14120388
663,16/03/1925,7.426652397
664,16/04/1925,8.041564805
665,16/05/1925,10.13092055
666,16/06/1925,12.96271535
667,16/07/1925,14.91852392
668,16/08/1925,15.41309275
669,16/09/1925,13.80354548
670,16/10/1925,12.53011492
671,16/11/1925,10.37449346
672,16/12/1925,8.785224131
673,16/01/1926,8.049911737
674,15/02/1926,7.836964607
675,16/03/1926,7.85149203
676,16/04/1926,8.879993337
677,16/05/1926,10.0834446
678,16/06/1926,12.39632641
679,16/07/1926,15.28682988
680,16/08/1926,15.76628235
681,16/09/1926,15.34728261
682,16/10/1926,13.01981626
683,16/11/1926,10.5850264
684,16/12/1926,9.297445195
685,16/01/1927,8.336375441
686,15/02/1927,7.954458645
687,16/03/1927,7.96426504
688,16/04/1927,8.528188671
689,16/05/1927,9.879163912
690,16/06/1927,12.09175301
691,16/07/1927,14.16598865
692,16/08/1927,15.50775862
693,16/09/1927,14.2960045
694,16/10/1927,12.64459773
695,16/11/1927,10.67568779
696,16/12/1927,8.933730568
697,16/01/1928,7.945315531
698,15/02/1928,7.759033748
699,16/03/1928,7.648699794
700,16/04/1928,8.333815779
701,16/05/1928,9.733543362
702,16/06/1928,12.17441647
703,16/07/1928,14.08448512
704,16/08/1928,15.20910597
705,16/09/1928,14.73844269
706,16/10/1928,13.17971148
707,16/11/1928,11.25970473
708,16/12/1928,9.49784112
709,16/01/1929,7.488117967
710,15/02/1929,7.030162828
711,16/03/1929,6.8604205
712,16/04/1929,7.405468089
713,16/05/1929,9.094229085
714,16/06/1929,11.74933086
715,16/07/1929,14.0032006
716,16/08/1929,14.8329822
717,16/09/1929,15.20662648
718,16/10/1929,13.11605058
719,16/11/1929,10.95273038
720,16/12/1929,9.922927856
721,16/01/1930,8.786201273
722,15/02/1930,7.575230326
723,16/03/1930,7.124937092
724,16/04/1930,8.068945714
725,16/05/1930,9.809573174
726,16/06/1930,13.0444058
727,16/07/1930,14.79135527
728,16/08/1930,15.16363089
729,16/09/1930,14.46525328
730,16/10/1930,12.91109092
731,16/11/1930,10.87662492
732,16/12/1930,9.725891726
733,16/01/1931,8.434190478
734,15/02/1931,7.332504102
735,16/03/1931,6.825760262
736,16/04/1931,7.635038614
737,16/05/1931,9.603157588
738,16/06/1931,12.32610832
739,16/07/1931,14.0582552
740,16/08/1931,14.69370753
741,16/09/1931,13.72170877
742,16/10/1931,12.8444064
743,16/11/1931,11.11977679
744,16/12/1931,9.849694933
745,16/01/1932,9.038858618
746,15/02/1932,7.915655613
747,16/03/1932,7.388727597
748,16/04/1932,7.87613695
749,16/05/1932,9.596596173
750,16/06/1932,12.49446058
751,16/07/1932,15.0374465
752,16/08/1932,16.08875384
753,16/09/1932,14.90086692
754,16/10/1932,12.63123853
755,16/11/1932,11.08262403
756,16/12/1932,9.596704824
757,16/01/1933,8.486615828
758,15/02/1933,7.662967648
759,16/03/1933,7.728844506
760,16/04/1933,8.649619239
761,16/05/1933,10.29360948
762,16/06/1933,13.00840201
763,16/07/1933,15.56103379
764,16/08/1933,16.40238115
